,Importance
MonthlyCharges,0.26348173757427806
TotalCharges,0.2562607025909629
Age,0.20367534722955782
Tenure,0.20113562531199913
Gender,0.027963730347456618
SubscriptionPlan_Standard,0.024251577387277984
SubscriptionPlan_Premium,0.023231279558467564
